,particle,material,thickness,p,cos_theta,efficiency,hit_additional_layer,all
73,single_n0,ld,0,0.8500000000000001,0.15000000000000002,0.0010638297872340426,1.0,940.0
74,single_n0,ld,0,0.8500000000000001,0.25,0.0,0.0,893.0
75,single_n0,ld,0,0.8500000000000001,0.35000000000000003,0.0,0.0,952.0
76,single_n0,ld,0,0.8500000000000001,0.45,0.0,0.0,940.0
77,single_n0,ld,0,0.8500000000000001,0.55,0.0,0.0,898.0
78,single_n0,ld,0,0.8500000000000001,0.6500000000000001,0.0,0.0,920.0
79,single_n0,ld,0,0.8500000000000001,0.75,0.0,0.0,884.0
80,single_n0,ld,0,0.8500000000000001,0.8500000000000001,0.0,0.0,919.0
81,single_n0,ld,0,0.95,0.05,0.0,0.0,955.0
82,single_n0,ld,0,0.95,0.15000000000000002,0.0,0.0,918.0
83,single_n0,ld,0,0.95,0.25,0.0,0.0,935.0
84,single_n0,ld,0,0.95,0.35000000000000003,0.0,0.0,963.0
85,single_n0,ld,0,0.95,0.45,0.0,0.0,901.0
86,single_n0,ld,0,0.95,0.55,0.0,0.0,966.0
87,single_n0,ld,0,0.95,0.6500000000000001,0.0,0.0,931.0
88,single_n0,ld,0,0.95,0.75,0.0,0.0,952.0
89,single_n0,ld,0,0.95,0.8500000000000001,0.0,0.0,877.0
90,single_n0,ld,0,1.05,0.05,0.0,0.0,927.0
91,single_n0,ld,0,1.05,0.15000000000000002,0.0,0.0,952.0
92,single_n0,ld,0,1.05,0.25,0.0,0.0,939.0
93,single_n0,ld,0,1.05,0.35000000000000003,0.0,0.0,879.0
94,single_n0,ld,0,1.05,0.45,0.0,0.0,914.0
95,single_n0,ld,0,1.05,0.55,0.0,0.0,925.0
96,single_n0,ld,0,1.05,0.6500000000000001,0.0,0.0,913.0
97,single_n0,ld,0,1.05,0.75,0.0011273957158962795,1.0,887.0
98,single_n0,ld,0,1.05,0.8500000000000001,0.0,0.0,966.0
99,single_n0,ld,0,1.1500000000000001,0.05,0.0,0.0,889.0
100,single_n0,ld,0,1.1500000000000001,0.15000000000000002,0.0,0.0,883.0
101,single_n0,ld,0,1.1500000000000001,0.25,0.0,0.0,933.0
102,single_n0,ld,0,1.1500000000000001,0.35000000000000003,0.0,0.0,919.0
103,single_n0,ld,0,1.1500000000000001,0.45,0.001088139281828074,1.0,919.0
104,single_n0,ld,0,1.1500000000000001,0.55,0.0,0.0,907.0
105,single_n0,ld,0,1.1500000000000001,0.6500000000000001,0.0,0.0,992.0
106,single_n0,ld,0,1.1500000000000001,0.75,0.0,0.0,931.0
107,single_n0,ld,0,1.1500000000000001,0.8500000000000001,0.001092896174863388,1.0,915.0
108,single_n0,ld,20,0.05,0.05,0.042443064182194616,41.0,966.0
109,single_n0,ld,20,0.05,0.15000000000000002,0.06054054054054054,56.0,925.0
110,single_n0,ld,20,0.05,0.25,0.04083885209713024,37.0,906.0
111,single_n0,ld,20,0.05,0.35000000000000003,0.05053763440860215,47.0,930.0
112,single_n0,ld,20,0.05,0.45,0.06494845360824743,63.0,970.0
113,single_n0,ld,20,0.05,0.55,0.05646036916395222,52.0,921.0
114,single_n0,ld,20,0.05,0.6500000000000001,0.06230200633579725,59.0,947.0
115,single_n0,ld,20,0.05,0.75,0.08181818181818182,81.0,990.0
116,single_n0,ld,20,0.05,0.8500000000000001,0.0824295010845987,76.0,922.0
117,single_n0,ld,20,0.15000000000000002,0.05,0.02628696604600219,24.0,913.0
118,single_n0,ld,20,0.15000000000000002,0.15000000000000002,0.018973214285714284,17.0,896.0
119,single_n0,ld,20,0.15000000000000002,0.25,0.02588235294117647,22.0,850.0
120,single_n0,ld,20,0.15000000000000002,0.35000000000000003,0.01893095768374165,17.0,898.0
121,single_n0,ld,20,0.15000000000000002,0.45,0.02275189599133261,21.0,923.0
122,single_n0,ld,20,0.15000000000000002,0.55,0.028089887640449437,25.0,890.0
123,single_n0,ld,20,0.15000000000000002,0.6500000000000001,0.036076662908680945,32.0,887.0
124,single_n0,ld,20,0.15000000000000002,0.75,0.03987068965517242,37.0,928.0
125,single_n0,ld,20,0.15000000000000002,0.8500000000000001,0.03981797497155859,35.0,879.0
126,single_n0,ld,20,0.25,0.05,0.007407407407407408,7.0,945.0
127,single_n0,ld,20,0.25,0.15000000000000002,0.008421052631578947,8.0,950.0
128,single_n0,ld,20,0.25,0.25,0.008528784648187633,8.0,938.0
129,single_n0,ld,20,0.25,0.35000000000000003,0.008,7.0,875.0
130,single_n0,ld,20,0.25,0.45,0.012486992715920915,12.0,961.0
131,single_n0,ld,20,0.25,0.55,0.0183982683982684,17.0,924.0
132,single_n0,ld,20,0.25,0.6500000000000001,0.012048192771084338,11.0,913.0
133,single_n0,ld,20,0.25,0.75,0.012618296529968454,12.0,951.0
134,single_n0,ld,20,0.25,0.8500000000000001,0.010044642857142858,9.0,896.0
135,single_n0,ld,20,0.35000000000000003,0.05,0.005411255411255411,5.0,924.0
136,single_n0,ld,20,0.35000000000000003,0.15000000000000002,0.004366812227074236,4.0,916.0
137,single_n0,ld,20,0.35000000000000003,0.25,0.006430868167202572,6.0,933.0
138,single_n0,ld,20,0.35000000000000003,0.35000000000000003,0.0011001100110011,1.0,909.0
139,single_n0,ld,20,0.35000000000000003,0.45,0.007383966244725738,7.0,948.0
140,single_n0,ld,20,0.35000000000000003,0.55,0.01768990634755463,17.0,961.0
141,single_n0,ld,20,0.35000000000000003,0.6500000000000001,0.005307855626326964,5.0,942.0
142,single_n0,ld,20,0.35000000000000003,0.75,0.0064516129032258064,6.0,930.0
143,single_n0,ld,20,0.35000000000000003,0.8500000000000001,0.014736842105263158,14.0,950.0
144,single_n0,ld,20,0.45,0.05,0.0054525627044711015,5.0,917.0
145,single_n0,ld,20,0.45,0.15000000000000002,0.007253886010362694,7.0,965.0
146,single_n0,ld,20,0.45,0.25,0.005313496280552604,5.0,941.0
147,single_n0,ld,20,0.45,0.35000000000000003,0.008465608465608466,8.0,945.0
148,single_n0,ld,20,0.45,0.45,0.008869179600886918,8.0,902.0
149,single_n0,ld,20,0.45,0.55,0.008429926238145416,8.0,949.0
150,single_n0,ld,20,0.45,0.6500000000000001,0.0077777777777777776,7.0,900.0
151,single_n0,ld,20,0.45,0.75,0.007462686567164179,7.0,938.0
152,single_n0,ld,20,0.45,0.8500000000000001,0.015968063872255488,16.0,1002.0
153,single_n0,ld,20,0.55,0.05,0.0041753653444676405,4.0,958.0
154,single_n0,ld,20,0.55,0.15000000000000002,0.007641921397379912,7.0,916.0
155,single_n0,ld,20,0.55,0.25,0.002244668911335578,2.0,891.0
156,single_n0,ld,20,0.55,0.35000000000000003,0.006486486486486486,6.0,925.0
157,single_n0,ld,20,0.55,0.45,0.008888888888888889,8.0,900.0
158,single_n0,ld,20,0.55,0.55,0.003,3.0,1000.0
159,single_n0,ld,20,0.55,0.6500000000000001,0.007760532150776054,7.0,902.0
160,single_n0,ld,20,0.55,0.75,0.0077348066298342545,7.0,905.0
161,single_n0,ld,20,0.55,0.8500000000000001,0.01557285873192436,14.0,899.0
162,single_n0,ld,20,0.6500000000000001,0.05,0.006711409395973154,6.0,894.0
163,single_n0,ld,20,0.6500000000000001,0.15000000000000002,0.003215434083601286,3.0,933.0
164,single_n0,ld,20,0.6500000000000001,0.25,0.005567928730512249,5.0,898.0
165,single_n0,ld,20,0.6500000000000001,0.35000000000000003,0.0033370411568409346,3.0,899.0
166,single_n0,ld,20,0.6500000000000001,0.45,0.011840688912809472,11.0,929.0
167,single_n0,ld,20,0.6500000000000001,0.55,0.012806830309498399,12.0,937.0
168,single_n0,ld,20,0.6500000000000001,0.6500000000000001,0.006666666666666667,6.0,900.0
169,single_n0,ld,20,0.6500000000000001,0.75,0.013727560718057022,13.0,947.0
170,single_n0,ld,20,0.6500000000000001,0.8500000000000001,0.008988764044943821,8.0,890.0
171,single_n0,ld,20,0.75,0.05,0.0053533190578158455,5.0,934.0
172,single_n0,ld,20,0.75,0.15000000000000002,0.008376963350785341,8.0,955.0
173,single_n0,ld,20,0.75,0.25,0.004310344827586207,4.0,928.0
174,single_n0,ld,20,0.75,0.35000000000000003,0.004188481675392671,4.0,955.0
175,single_n0,ld,20,0.75,0.45,0.005341880341880342,5.0,936.0
176,single_n0,ld,20,0.75,0.55,0.009404388714733543,9.0,957.0
177,single_n0,ld,20,0.75,0.6500000000000001,0.00989010989010989,9.0,910.0
178,single_n0,ld,20,0.75,0.75,0.010822510822510822,10.0,924.0
179,single_n0,ld,20,0.75,0.8500000000000001,0.007415254237288136,7.0,944.0
180,single_n0,ld,20,0.8500000000000001,0.05,0.0010706638115631692,1.0,934.0
181,single_n0,ld,20,0.8500000000000001,0.15000000000000002,0.005319148936170213,5.0,940.0
182,single_n0,ld,20,0.8500000000000001,0.25,0.008958566629339306,8.0,893.0
